,Hidden Layers,Hidden Layer Size,Learning Rate,Patience,Mean Accuracy,Mean Precision,Mean Recall,Mean F1
0,1,256,0.01,10,0.7616301499561956,0.2,0.003927068723702664,0.0077028885832187075
1,1,256,0.001,10,0.7280170974420624,0.25739181778853465,0.05331028663769059,0.060850740622831787
2,1,256,0.0001,10,0.7324937829269155,0.26155780933062883,0.043113200174740206,0.05121046231171593
3,1,256,1e-05,10,0.9232170848704138,0.24785214785214787,0.1925604069397043,0.21120036185736996
4,1,128,0.01,10,0.7593963251499758,0.2,0.008976157082748949,0.017181208053691274
5,1,128,0.001,10,0.7302576009365878,0.276232917409388,0.0681827046866557,0.07661629660125577
6,1,128,0.0001,10,0.7294145147540082,0.2843850267379679,0.06662805683125186,0.07597277599292103
7,1,128,1e-05,10,0.8051229467944261,0.21666666666666665,0.06333956677575191,0.09799601015596662
8,1,64,0.01,10,0.7599805139447083,0.23595959595959598,0.04794913228635392,0.07302920095069962
9,1,64,0.001,10,0.7204517150478705,0.2650893047747812,0.06693891030120633,0.06876891813618126
10,1,64,0.0001,10,0.7302627081688216,0.2655700923396023,0.06794618681356272,0.07648454787766143
11,1,64,1e-05,10,0.8056831708840619,0.2837121212121212,0.08561062904681419,0.13135569395043303
12,1,32,0.01,10,0.7310983299350596,0.23425641025641025,0.03077060409800806,0.03789210789210789
13,1,32,0.001,10,0.72269143281436,0.2600026056934402,0.061219346794210816,0.06306958507559181
14,1,32,0.0001,10,0.7448462133801627,0.2554387641344163,0.06887171601398674,0.08798203156177005
15,1,32,1e-05,10,0.8842437956949961,0.25116666666666665,0.1884217745788573,0.2121829606687295
16,1,16,0.01,10,0.7350167556503667,0.22912581699346407,0.022653548954304947,0.027509806956603555
17,1,16,0.001,10,0.7058862815813562,0.24643852155305207,0.06721941521004224,0.059307115173602855
18,1,16,0.0001,10,0.7358865565861689,0.25137080523909167,0.08068805191851064,0.09389799502369436
19,1,16,1e-05,10,0.7017223158548132,0.24820582318469242,0.12878173499457665,0.11056483789893531
20,2,256,0.01,10,0.757703081232493,0.0,0.0,0.0
21,2,256,0.001,10,0.7330563642006591,0.25714419739187544,0.03957659831056335,0.04850217811035547
22,2,256,0.0001,10,0.7453781512605042,0.051148459383753495,0.021434825337264363,0.030074642338793277
23,2,256,1e-05,10,0.8463520611610702,0.22222222222222224,0.10049987413241271,0.13748812915479583
24,2,128,0.01,10,0.757703081232493,0.0,0.0,0.0
25,2,128,0.001,10,0.7310959727509517,0.2586506086506087,0.05173714729456528,0.05834182218463625
26,2,128,0.0001,10,0.7392156862745097,0.018907563025210083,0.01059233449477352,0.013489409141583055
27,2,128,1e-05,10,0.7521008403361344,0.065,0.010683760683760684,0.01826673585884795
28,2,64,0.01,10,0.7649966017262445,0.2,0.007573632538569425,0.014594594594594595
29,2,64,0.001,10,0.7103657171143352,0.24598766638438319,0.05966336988401094,0.05357539125595907
30,2,64,0.0001,10,0.8850915962457915,0.24372319688109162,0.1980617999620497,0.2178655180496801
31,2,64,1e-05,10,0.7568658880101831,0.3,0.0173784983075853,0.02921546376714852
32,2,32,0.01,10,0.7481914504932409,0.24291187739463602,0.030966714444975313,0.04375
33,2,32,0.001,10,0.7061624649859944,0.06654043768537163,0.09569671520891032,0.0783370094513527
34,2,32,0.0001,10,0.9058497452276842,0.2903955968352253,0.23499082254666698,0.25513768174553025
35,2,32,1e-05,10,0.9456476559768368,0.2125,0.1975545725896357,0.2034128273442069
36,2,16,0.01,10,0.7100879622536251,0.23248380025003962,0.045515969604157616,0.04232978653433232
37,2,16,0.001,10,0.7126050420168066,0.025541641820711586,0.03625182405670211,0.02944457918991026
38,2,16,0.0001,10,0.7221288515406161,0.0758300395256917,0.07062896453140355,0.06531854495136193
39,2,16,1e-05,10,0.94227884702268,0.21818181818181817,0.1922249793217535,0.2013333333333333
