,Hidden Layers,Hidden Layer Size,Learning Rate,Mean Accuracy,Mean Precision,Mean Recall,Mean F1
0,1,256,0.01,0.8982875057456363,0.09054249727133598,0.09182797419079615,0.08603285747909126
1,1,256,0.001,0.9038960324662824,0.10053768937633609,0.0947101797045806,0.09308391937404889
2,1,256,0.0001,0.901375809790957,0.1221376187009808,0.13077907534794433,0.12086596937586642
3,1,256,1e-05,0.8988548013875958,0.11020212222097532,0.12363621820508716,0.1084858124900476
4,1,128,0.01,0.8716772543519511,0.0722933457064702,0.11123020316749319,0.08303268051551804
5,1,128,0.001,0.8974530625714522,0.10843497632971318,0.11310456993547699,0.10767429934874828
6,1,128,0.0001,0.9038983896503903,0.14189786059351275,0.1326481096357916,0.1309108415451699
7,1,128,1e-05,0.8938139631729269,0.1155388680294813,0.1408041380045859,0.11552544433630271
8,1,64,0.01,0.8845675156458095,0.07772890208715065,0.0974510744947475,0.0821956031734945
9,1,64,0.001,0.8980117152050161,0.10568925951904676,0.11837306031035033,0.10916495405952079
10,1,64,0.0001,0.893812391716855,0.11211387482573923,0.13604223324268114,0.11749558787696084
11,1,64,1e-05,0.8812065639720125,0.10768008781373144,0.16323521569882155,0.1206009306009306
12,1,32,0.01,0.8921317194479474,0.11031895680301909,0.11887431344318242,0.10999357668855465
13,1,32,0.001,0.8918508216750937,0.12468673757094328,0.14015624166799978,0.12569932195464112
14,1,32,0.0001,0.8840068986921557,0.1234795321637427,0.157318828987362,0.13223396694422898
15,1,32,1e-05,0.8778377550178555,0.14336626926755813,0.21019570202100996,0.1562184583695408
16,1,16,0.01,0.8770048832997436,0.09753277960076565,0.13791660001066494,0.1076136576136576
17,1,16,0.001,0.8722406213537308,0.11337984518717684,0.169724844024956,0.1309879927812701
18,1,16,0.0001,0.878965274749451,0.10087776630149511,0.14556071028635417,0.1128001433003873
19,1,16,1e-05,0.8747687013094158,0.11571005573445259,0.13566629339305708,0.10197593355062058
20,2,256,0.01,0.9094864874421017,0.06205141476880607,0.046589878952700906,0.04950223455077824
21,2,256,0.001,0.9207043266114299,0.08616946778711485,0.04233989228390124,0.054246884706509436
22,2,256,0.0001,0.9114602362684204,0.11864962651727358,0.09795766010771609,0.10481045501615123
23,2,256,1e-05,0.9137034898110716,0.12205627705627706,0.0960832933397323,0.10317614439783826
24,2,128,0.01,0.905296592690372,0.08281636752413658,0.07955793739668318,0.07168456212078876
25,2,128,0.001,0.9131385513532202,0.09790412486064659,0.07040473524236121,0.07628082828697062
26,2,128,0.0001,0.9167859008961228,0.1455639016591755,0.10372207113528502,0.11554522204138573
27,2,128,1e-05,0.9047391186488621,0.10332112332112331,0.10033861248866849,0.09691396910102626
28,2,64,0.01,0.8994150254772316,0.10420500403551251,0.10711619474217457,0.09728365214986008
29,2,64,0.001,0.9153810191678353,0.12129171649925703,0.08179757905401802,0.09477039422965883
30,2,64,0.0001,0.9038968181943183,0.09766573295985062,0.09983202687569989,0.09575284364758048
31,2,64,1e-05,0.9008144071092673,0.10056182556182555,0.10610835599637392,0.09904336717961197
32,2,32,0.01,0.8957680687983467,0.10343998581344682,0.11411240868127766,0.10644429909995139
33,2,32,0.001,0.9108976549946768,0.10908050756326618,0.08742601183810589,0.09432798436966186
34,2,32,0.0001,0.9036159204214644,0.11627349607160635,0.10834799765370873,0.10613453210228593
35,2,32,1e-05,0.8985770465268856,0.10196659132829344,0.13228816722657707,0.11358211432721237
36,2,16,0.01,0.902491543602013,0.0942809616411195,0.08878846051298458,0.09061105222951962
37,2,16,0.001,0.884279546320632,0.10402145635252391,0.13438116568015784,0.11296567339585786
38,2,16,0.0001,0.8688828125920776,0.11527541916375417,0.1726283794592865,0.1233487373641506
39,2,16,1e-05,0.8316216248070056,0.08170204894482884,0.19148136298192292,0.10467074651285177
